,chr,start,end,ATAC,CTCF,REST,EP300,Score_1
53,chr1,28800,29000,U,U,U,U,30.109057998798114
54,chr1,29000,29200,U,U,U,U,39.91295729421285
55,chr1,29200,29400,U,U,U,U,40.57996361666163
56,chr1,29400,29600,U,U,U,U,42.039970856869935
57,chr1,31800,32000,U,U,U,U,-3.9398858188048345
58,chr1,32000,32200,U,U,U,U,8.81454636293854
59,chr1,32200,32400,U,U,U,U,-2.3079583012263982
60,chr1,32400,32600,U,U,U,U,-3.25069067320407
61,chr1,32600,32800,U,U,U,U,2.6120485079037916
62,chr1,34200,34400,U,U,U,U,0.12271279164611318
63,chr1,35000,35200,U,U,U,U,5.729921306524929
64,chr1,35600,35800,U,U,U,U,3.079244740477918
65,chr1,35800,36000,U,U,U,U,9.537077181741536
66,chr1,36000,36200,U,U,U,U,14.327888415335558
67,chr1,36200,36400,U,U,U,U,-0.7277852733856555
68,chr1,36400,36600,U,U,U,U,-1.2728038770692478
69,chr1,36600,36800,U,U,U,U,-3.2606851443889537
70,chr1,36800,37000,U,U,U,U,12.210931608618433
71,chr1,41000,41200,U,U,U,U,-7.177417023618006
72,chr1,42600,42800,U,U,U,U,-18.1180817978401
73,chr1,42800,43000,U,U,U,U,-24.906543419826498
74,chr1,43000,43200,U,U,U,U,-20.616162134213724
75,chr1,46200,46400,U,U,U,U,-13.66033551445989
76,chr1,47200,47400,U,U,U,U,-17.634874574916893
77,chr1,47400,47600,U,U,U,U,-9.359697738004243
78,chr1,47600,47800,U,U,U,U,-14.888977956876857
79,chr1,47800,48000,U,U,U,U,-7.636519400298143
80,chr1,48000,48200,U,U,U,U,-12.208787618357992
81,chr1,48200,48400,U,U,U,U,-10.987062614070547
82,chr1,49600,49800,U,U,U,U,-9.302645138984461
83,chr1,50000,50200,U,U,U,U,-17.53726535749695
84,chr1,50200,50400,U,U,U,U,-15.831298715397022
85,chr1,50800,51000,U,U,U,U,-18.816456654869754
86,chr1,51000,51200,U,U,U,U,-14.405179169935868
87,chr1,51200,51400,U,U,U,U,-14.343507821031277
88,chr1,52000,52200,U,U,U,U,-13.745750803017222
89,chr1,52400,52600,U,U,U,U,-11.945824426784084
90,chr1,52600,52800,U,U,U,U,-9.682698035115072
91,chr1,52800,53000,U,U,U,U,-8.873564908873028
92,chr1,53000,53200,U,U,U,U,-14.281289515076852
93,chr1,53200,53400,U,U,U,U,-11.720188483471638
94,chr1,53400,53600,U,U,U,U,-13.239704915711913
95,chr1,53800,54000,U,U,U,U,-12.92701101185594
96,chr1,54000,54200,U,U,U,U,-14.309968421859102
97,chr1,54200,54400,U,U,U,U,-16.390132676256684
98,chr1,55800,56000,U,U,U,U,-10.871387813632682
99,chr1,56000,56200,U,U,U,U,-6.3838794553104945
100,chr1,56200,56400,U,U,U,U,-2.6411957395248646
101,chr1,56400,56600,U,U,U,U,-10.511965308241383
102,chr1,56600,56800,U,U,U,U,-13.279873133142997
103,chr1,56800,57000,U,U,U,U,-14.56336881341642
104,chr1,57000,57200,U,U,U,U,-13.358363591256365
105,chr1,57200,57400,U,U,U,U,-10.177819632653096
106,chr1,57400,57600,U,U,U,U,-10.468514709101369
107,chr1,57600,57800,U,U,U,U,-12.686746175355594
108,chr1,57800,58000,U,U,U,U,-20.180048959916693
109,chr1,58000,58200,U,U,U,U,-5.818703718088643
110,chr1,58200,58400,U,U,U,U,-14.96550082652352
111,chr1,58400,58600,U,U,U,U,-13.127263800749397
112,chr1,58600,58800,U,U,U,U,-12.219403150946658
113,chr1,58800,59000,U,U,U,U,-15.136940493309336
114,chr1,59400,59600,U,U,U,U,-17.221387921019673
115,chr1,59600,59800,U,U,U,U,-13.477718077342665
116,chr1,60000,60200,U,U,U,U,-16.177537349316676
117,chr1,60800,61000,U,U,U,U,-17.652898547858687
118,chr1,61000,61200,U,U,U,U,-8.627073723559468
119,chr1,61200,61400,U,U,U,U,-24.078621346123196
120,chr1,61400,61600,U,U,U,U,-22.17821851573573
121,chr1,62400,62600,U,U,U,U,-20.257324893314973
122,chr1,62600,62800,U,U,U,U,-15.78842812583885
123,chr1,62800,63000,U,U,U,U,-16.98591264899521
124,chr1,63000,63200,U,U,U,U,-7.2839877622332585
125,chr1,63200,63400,U,U,U,U,-11.063143698944273
126,chr1,63400,63600,U,U,U,U,-9.909994025155012
127,chr1,63600,63800,U,U,U,U,-5.333565198836872
128,chr1,63800,64000,U,U,U,U,-10.564146382985255
129,chr1,64000,64200,U,U,U,U,-26.248035282139696
130,chr1,64200,64400,U,U,U,U,-23.710319736613954
131,chr1,64800,65000,U,U,U,U,-10.628653450152164
132,chr1,65000,65200,U,U,U,U,-16.277364842006733
133,chr1,65200,65400,U,U,U,U,-15.30884636375709
134,chr1,65400,65600,U,U,U,U,-13.028652803642556
135,chr1,65600,65800,U,U,U,U,-21.71862700138852
136,chr1,66800,67000,U,U,U,U,-9.756322964244418
137,chr1,67000,67200,U,U,U,U,-16.38901753658738
138,chr1,67200,67400,U,U,U,U,-18.930428575122335
139,chr1,67400,67600,U,U,U,U,-14.873919298177388
140,chr1,67600,67800,U,U,U,U,-8.006851202327702
141,chr1,68400,68600,U,U,U,U,-17.904504129442294
142,chr1,68600,68800,U,U,U,U,-21.711882031427855
143,chr1,68800,69000,B,U,U,U,-16.84003001583477
144,chr1,69000,69200,B,U,U,U,-8.03412168353006
145,chr1,69200,69400,B,U,U,U,-2.5490845500512616
146,chr1,69400,69600,B,U,U,U,-0.5102543890128282
147,chr1,69600,69800,B,U,U,U,-7.547851095428197
148,chr1,69800,70000,B,U,U,U,-11.013624326126243
149,chr1,70000,70200,B,U,U,U,-20.048837463090724
150,chr1,70200,70400,U,U,U,U,-21.0783310893659
151,chr1,71000,71200,U,U,U,U,-16.388944501937182
152,chr1,87600,87800,U,U,U,U,7.248021902839009
153,chr1,87800,88000,U,U,U,U,-3.7867090867492044
154,chr1,89400,89600,U,U,U,U,-17.786048321453983
155,chr1,89600,89800,U,U,U,U,-13.717367356122033
156,chr1,91400,91600,U,U,U,U,2.584881159204638
157,chr1,95200,95400,U,U,U,U,-3.823073805587681
158,chr1,95600,95800,U,U,U,U,-6.310963873230139
159,chr1,95800,96000,U,U,U,U,0.19097124173027652
160,chr1,96000,96200,U,U,U,U,4.105052521498205
161,chr1,96200,96400,U,U,U,U,-6.714165648954597
162,chr1,96400,96600,U,U,U,U,-3.574574483611828
163,chr1,96600,96800,U,U,U,U,-0.5106435657271107
164,chr1,96800,97000,U,U,U,U,-7.765699597543384
165,chr1,97200,97400,U,U,U,U,-15.02810926987083
166,chr1,97400,97600,U,U,U,U,-20.110053234657506
167,chr1,97600,97800,U,U,U,U,-13.77710894353454
168,chr1,98200,98400,U,U,U,U,-5.031491071225051
169,chr1,98400,98600,U,U,U,U,-9.154933803333385
170,chr1,98600,98800,U,U,U,U,-11.221364637889643
171,chr1,99400,99600,U,U,U,U,-13.146953464641395
172,chr1,100600,100800,U,U,U,U,-20.928335603860578
173,chr1,100800,101000,U,U,U,U,-19.06763204499373
174,chr1,102200,102400,U,U,U,U,-3.437345140300351
175,chr1,105200,105400,U,U,U,U,-9.289210935041382
176,chr1,105400,105600,U,U,U,U,-13.598517366977877
177,chr1,105800,106000,U,U,U,U,-10.40359014489658
178,chr1,106000,106200,U,U,U,U,-11.477288167991187
179,chr1,106200,106400,U,U,U,U,-11.814813730308405
180,chr1,106600,106800,U,U,U,U,-8.63825874973024
181,chr1,107000,107200,U,U,U,U,-11.712716826337346
182,chr1,107200,107400,U,U,U,U,-15.249410799781863
183,chr1,108800,109000,U,U,U,U,-9.69224432038799
184,chr1,109000,109200,U,U,U,U,-2.050235210919774
185,chr1,109200,109400,U,U,U,U,-16.765527990416192
186,chr1,111600,111800,U,U,U,U,-22.54818608260566
187,chr1,111800,112000,U,U,U,U,-12.532773774271403
188,chr1,112600,112800,U,U,U,U,-12.644802674778445
189,chr1,112800,113000,U,U,U,U,-19.65299683139469
190,chr1,113000,113200,U,U,U,U,-13.87320479967712
191,chr1,113200,113400,U,U,U,U,-18.85226427437551
192,chr1,113400,113600,U,U,U,U,-9.721049594217154
193,chr1,114600,114800,U,U,U,U,-13.523508700923472
194,chr1,114800,115000,U,U,U,U,-6.060653669877704
195,chr1,119200,119400,U,U,U,U,-27.70165150515925
196,chr1,120000,120200,U,U,U,U,-12.811116031906721
197,chr1,120200,120400,U,U,U,U,-13.679127302786284
198,chr1,120400,120600,U,U,U,U,-16.271488866844813
199,chr1,120600,120800,U,U,U,U,-11.9098101362257
200,chr1,121800,122000,U,U,U,U,-6.04818764613546
201,chr1,122000,122200,U,U,U,U,-15.772437142197143
202,chr1,122200,122400,U,U,U,U,-16.52814562892669
203,chr1,122400,122600,U,U,U,U,-17.613032189547358
204,chr1,122600,122800,U,U,U,U,-13.893956442458949
205,chr1,122800,123000,U,U,U,U,-10.412058412777167
206,chr1,123400,123600,U,U,U,U,-16.381535346130324
207,chr1,125000,125200,U,U,U,U,-19.07785990439848
208,chr1,125200,125400,U,U,U,U,-13.88480567111882
209,chr1,125400,125600,U,U,U,U,-22.724668171332564
210,chr1,125600,125800,U,U,U,U,-22.301908054750626
211,chr1,127000,127200,U,U,U,U,-22.082028306394342
212,chr1,127200,127400,U,U,U,U,-18.37278069246504
213,chr1,128200,128400,U,U,U,U,-20.94115517182418
214,chr1,131000,131200,U,U,U,U,20.55637621335714
215,chr1,131200,131400,U,U,U,U,13.718545688937125
216,chr1,131400,131600,U,U,U,U,6.1715164726344245
217,chr1,131600,131800,U,U,U,U,17.55579351070699
218,chr1,131800,132000,U,U,U,U,10.735698445675588
219,chr1,132000,132200,U,U,U,U,12.841727563505613
220,chr1,132200,132400,U,U,U,U,13.128238499040053
221,chr1,132400,132600,U,U,U,U,10.738613514935007
222,chr1,132600,132800,U,U,U,U,13.682566384474425
223,chr1,132800,133000,U,U,U,U,12.893534073136975
224,chr1,133000,133200,U,U,U,U,11.940105568254468
225,chr1,133200,133400,U,U,U,U,14.141389729667717
226,chr1,133400,133600,U,U,U,U,16.439611296566024
227,chr1,134400,134600,U,U,U,U,9.335993881625603
228,chr1,134600,134800,U,U,U,U,5.368470143637049
229,chr1,134800,135000,U,U,U,U,-13.488805279409855
230,chr1,135000,135200,U,U,U,U,22.139662375591175
231,chr1,135200,135400,U,U,U,U,20.87527743503662
232,chr1,135400,135600,U,U,U,U,27.53438478143594
233,chr1,135600,135800,U,U,U,U,18.700155824836028
234,chr1,135800,136000,U,U,U,U,18.01392583321927
235,chr1,137600,137800,U,U,U,U,23.01350498634903
236,chr1,137800,138000,U,U,U,U,17.992064422322922
237,chr1,138400,138600,U,U,U,U,6.856296217145549
238,chr1,138600,138800,U,U,U,U,9.058288247623272
239,chr1,138800,139000,U,U,U,U,9.11655598031018
240,chr1,139000,139200,U,U,U,U,8.35473033351013
241,chr1,140200,140400,U,U,U,U,0.22439751444794986
242,chr1,145400,145600,U,U,U,U,-4.379967406588735
243,chr1,156600,156800,U,U,U,U,-20.889123101979767
244,chr1,158400,158600,U,U,U,U,-6.880374035085779
245,chr1,159600,159800,U,U,U,U,-7.982311414015536
246,chr1,159800,160000,U,U,U,U,-8.341982442500173
247,chr1,160000,160200,U,U,U,U,-2.4422617271984732
248,chr1,160200,160400,U,U,U,U,-14.362093333052043
249,chr1,160400,160600,U,U,U,U,-6.1083448748566065
250,chr1,160600,160800,U,U,U,U,-5.141038748744815
251,chr1,160800,161000,U,U,U,U,-6.14503982021991
252,chr1,161000,161200,U,U,U,U,-4.699492559294588
253,chr1,162800,163000,U,U,U,U,-1.7971007980798763
254,chr1,163000,163200,U,U,U,U,-5.33123128582407
255,chr1,163200,163400,U,U,U,U,-3.057792337369843
256,chr1,163400,163600,U,U,U,U,-4.219588893337825
257,chr1,163600,163800,U,U,U,U,-10.063946343711223
258,chr1,164800,165000,U,U,U,U,-19.969388167293967
259,chr1,165400,165600,U,U,U,U,-16.765822751558524
260,chr1,165600,165800,U,U,U,U,-19.27851709535214
261,chr1,165800,166000,U,U,U,U,-17.83028586860659
262,chr1,166600,166800,U,U,U,U,-21.918663659964707
263,chr1,166800,167000,U,U,U,U,-19.6293969815087
264,chr1,167800,168000,U,U,U,U,-11.896764711674042
265,chr1,168000,168200,U,U,U,U,-5.965983918069639
266,chr1,168200,168400,U,U,U,U,-12.948926564798104
267,chr1,170200,170400,U,U,U,U,1.5539826509440577
268,chr1,170400,170600,U,U,U,U,14.178181684399199
269,chr1,170600,170800,U,U,U,U,11.776985486638482
270,chr1,171400,171600,U,U,U,U,12.51989157490938
271,chr1,171600,171800,U,U,U,U,-0.8110999092051485
272,chr1,171800,172000,U,U,U,U,8.065217540916816
273,chr1,172200,172400,U,U,U,U,7.678271335168922
274,chr1,172600,172800,U,U,U,U,11.57245772225842
275,chr1,173000,173200,U,U,U,U,-6.642449300428882
276,chr1,173200,173400,U,U,U,U,-23.37742488231629
277,chr1,173400,173600,U,U,U,U,-14.913565158561989
278,chr1,173600,173800,U,U,U,U,-5.395208644440524
279,chr1,173800,174000,U,U,U,U,-7.705407894733261
280,chr1,174000,174200,U,U,U,U,-12.221991513838992
281,chr1,176600,176800,U,U,U,U,-2.828725295289327
282,chr1,176800,177000,U,U,U,U,0.1208121621978609
283,chr1,177000,177200,U,U,U,U,-9.484708393123212
284,chr1,177200,177400,U,U,U,U,-19.589049491676594
285,chr1,177400,177600,U,U,U,U,-6.7952398281140205
286,chr1,177600,177800,U,U,U,U,-8.924979407951783
287,chr1,177800,178000,U,U,U,U,-12.312212970236164
288,chr1,178000,178200,U,U,U,U,-5.45067753444523
289,chr1,179400,179600,U,U,U,U,-8.559261694845016
290,chr1,182400,182600,U,U,U,U,4.504591530509895
291,chr1,182600,182800,U,U,U,U,0.012660199715152115
292,chr1,182800,183000,U,U,U,U,15.648470821884171
293,chr1,183000,183200,U,U,U,U,16.90777977680052
294,chr1,183200,183400,U,U,U,U,11.46587036385948
295,chr1,183400,183600,U,U,U,U,9.806962977857744
296,chr1,183600,183800,U,U,U,U,8.029309261790061
297,chr1,183800,184000,U,U,U,U,7.085979569117745
298,chr1,184000,184200,U,U,U,U,12.10876333679021
299,chr1,184200,184400,U,U,U,U,9.487488168260084
300,chr1,184400,184600,U,U,U,U,7.7736996896204085
301,chr1,184600,184800,U,U,U,U,1.7655630610410284
302,chr1,184800,185000,U,U,U,U,5.683693654227263
303,chr1,185000,185200,U,U,U,U,14.193577642943941
304,chr1,185200,185400,U,U,U,U,17.57764840259789
305,chr1,185400,185600,U,U,U,U,11.907395059057455
306,chr1,186000,186200,U,U,U,U,10.744465337652276
307,chr1,186400,186600,U,U,U,U,19.34255899461003
308,chr1,186600,186800,U,U,U,U,11.43279425324748
309,chr1,187000,187200,U,U,U,U,6.625415399312355
310,chr1,187400,187600,U,U,U,U,8.40612170984116
311,chr1,187600,187800,U,U,U,U,9.690444515049034
312,chr1,187800,188000,U,U,U,U,9.438784118213926
313,chr1,188000,188200,U,U,U,U,16.05249760817411
314,chr1,188200,188400,U,U,U,U,12.113080897438861
315,chr1,188400,188600,U,U,U,U,19.824150468642813
316,chr1,188600,188800,U,U,U,U,11.200503488182711
317,chr1,188800,189000,U,U,U,U,10.695097443866944
318,chr1,189000,189200,U,U,U,U,6.472089844742324
319,chr1,189200,189400,U,U,U,U,10.480441550008951
320,chr1,189600,189800,U,U,U,U,10.746289806597463
321,chr1,190000,190200,U,U,U,U,7.810375416249119
322,chr1,190200,190400,U,U,U,U,4.017291947610861
323,chr1,191400,191600,U,U,U,U,17.126037438646215
324,chr1,191600,191800,U,U,U,U,7.718495888101517
325,chr1,191800,192000,U,U,U,U,11.028115656751657
326,chr1,192000,192200,U,U,U,U,9.776580998164249
327,chr1,192200,192400,U,U,U,U,17.53165442247956
328,chr1,192400,192600,U,U,U,U,3.958440466084286
329,chr1,192600,192800,U,U,U,U,5.1575088807234675
330,chr1,192800,193000,U,U,U,U,2.444602906902599
331,chr1,193000,193200,U,U,U,U,5.450451898996103
332,chr1,193200,193400,U,U,U,U,7.49374768288624
333,chr1,193400,193600,U,U,U,U,-0.757825292924448
334,chr1,194000,194200,U,U,U,U,8.946563022499278
335,chr1,195000,195200,U,U,U,U,7.790627199694642
336,chr1,195200,195400,U,U,U,U,14.805198892700215
337,chr1,195400,195600,U,U,U,U,12.647995463360067
338,chr1,195600,195800,U,U,U,U,2.5219865314834995
339,chr1,195800,196000,U,U,U,U,-0.0507817166386865
340,chr1,196000,196200,U,U,U,U,0.7909802872605133
341,chr1,196200,196400,U,U,U,U,0.5471571914510835
342,chr1,196400,196600,U,U,U,U,-3.0586522284354984
343,chr1,196600,196800,U,U,U,U,0.901307137172177
344,chr1,199000,199200,U,U,U,U,-15.275521783206674
345,chr1,199200,199400,U,U,U,U,16.519837558175034
346,chr1,199400,199600,U,U,U,U,35.80598463121897
347,chr1,199600,199800,U,U,U,U,40.36763246670927
348,chr1,199800,200000,U,U,U,U,46.93823802188479
349,chr1,200000,200200,U,U,U,U,27.88547693493034
350,chr1,202400,202600,U,U,U,U,1.9180454583918052
351,chr1,202600,202800,U,U,U,U,4.617465962650898
352,chr1,202800,203000,U,U,U,U,-1.0612150350766185
353,chr1,203000,203200,U,U,U,U,-2.6502604363136553
354,chr1,206200,206400,U,U,U,U,5.241487099642794
355,chr1,206400,206600,U,U,U,U,13.917574580800855
356,chr1,206600,206800,U,U,U,U,12.386429227501603
357,chr1,206800,207000,U,U,U,U,-12.038409678595087
358,chr1,207000,207200,U,U,U,U,4.20088566597544
359,chr1,207200,207400,U,U,U,U,-0.029786898863638805
360,chr1,258600,258800,U,U,U,U,0.4713481468549889
361,chr1,262800,263000,U,U,U,U,-20.002875464572835
362,chr1,263000,263200,U,U,U,U,-16.11226515116829
363,chr1,263200,263400,U,U,U,U,-11.617477222828434
364,chr1,263400,263600,U,U,U,U,-20.754657420642978
365,chr1,264200,264400,U,U,U,U,-14.264036046311785
366,chr1,264400,264600,U,U,U,U,-0.6858778241895301
367,chr1,265800,266000,U,U,U,U,0.6081997934292869
368,chr1,266400,266600,U,U,U,U,-14.409219638494024
369,chr1,267800,268000,U,U,B,U,-1.4818817899732206
370,chr1,269400,269600,U,U,U,U,-8.872811329922385
371,chr1,270000,270200,U,U,U,U,-14.649706073113897
372,chr1,271800,272000,U,U,U,U,-5.582060696544634
373,chr1,272400,272600,U,U,U,U,0.3263840200749082
374,chr1,272600,272800,U,U,U,U,0.739148482157787
375,chr1,272800,273000,U,U,U,U,-4.2040648940544845
376,chr1,273000,273200,U,U,U,U,-7.363867944822006
377,chr1,273200,273400,U,U,U,U,0.9289747451440837
378,chr1,273400,273600,U,U,U,U,-8.263386790229328
379,chr1,273800,274000,U,U,U,U,-14.047873032069822
380,chr1,274000,274200,U,U,U,U,-19.1462024265402
381,chr1,274800,275000,U,U,U,U,-3.155182030301487
382,chr1,275000,275200,U,U,U,U,-12.021259791055172
383,chr1,275200,275400,U,U,U,U,-11.771178901981378
384,chr1,276000,276200,U,U,U,U,-15.41819110840141
385,chr1,277000,277200,U,U,U,U,-5.590226349781307
386,chr1,277200,277400,U,U,U,U,-20.907905211563932
387,chr1,278800,279000,U,U,U,U,-0.9570790526203488
388,chr1,281800,282000,U,U,U,U,-8.495094780621521
389,chr1,282200,282400,U,U,U,U,-19.120789827530466
390,chr1,282400,282600,U,U,U,U,-9.93379318047002
391,chr1,282600,282800,U,U,U,U,-12.811231569965505
392,chr1,283200,283400,U,U,U,U,-7.657780257115149
393,chr1,283600,283800,U,U,U,U,-14.916298670622545
394,chr1,283800,284000,U,U,U,U,-14.769795052047153
395,chr1,285400,285600,U,U,U,U,-9.272380919390992
396,chr1,285600,285800,U,U,U,U,-2.374442874938536
397,chr1,285800,286000,U,U,U,U,-18.491065650981525
398,chr1,288200,288400,U,U,U,U,-21.11693184206344
399,chr1,289200,289400,U,U,U,U,-12.203587006363179
400,chr1,289400,289600,U,U,U,U,-17.770945871298046
401,chr1,289600,289800,U,U,U,U,-14.201856458268034
402,chr1,289800,290000,U,U,U,U,-19.7954881282927
403,chr1,290000,290200,U,U,U,U,-10.205603878554749
404,chr1,291200,291400,U,U,U,U,-10.487957196667523
405,chr1,291400,291600,U,U,U,U,-5.561496368223304
406,chr1,295800,296000,U,U,U,U,-28.442823822966634
407,chr1,296600,296800,U,U,U,U,-12.735007315225173
408,chr1,296800,297000,U,U,U,U,-16.00493144307446
409,chr1,297000,297200,U,U,U,U,-14.575465836857338
410,chr1,297200,297400,U,U,U,U,-12.046869186865779
411,chr1,348000,348200,U,U,U,U,-0.052881690899598044
412,chr1,348200,348400,U,U,U,U,9.568255886534727
413,chr1,352200,352400,U,U,U,U,-17.657020459140025
414,chr1,352400,352600,U,U,U,U,-16.668505917700205
415,chr1,352600,352800,U,U,U,U,-11.504944573438319
416,chr1,352800,353000,U,U,U,U,-20.967066799620923
417,chr1,353600,353800,U,U,U,U,-13.429154067023303
418,chr1,353800,354000,U,U,U,U,0.42334065312293556
419,chr1,355000,355200,U,U,U,U,-5.379327152252832
420,chr1,355200,355400,U,U,U,U,1.1560115775785869
421,chr1,356600,356800,U,U,U,U,2.1190279181542144
422,chr1,357200,357400,U,U,U,U,1.8181581945454208
423,chr1,359000,359200,U,U,U,U,11.066610682804924
424,chr1,359400,359600,U,U,U,U,5.215051036524026
425,chr1,363200,363400,U,U,U,U,3.50574689010913
426,chr1,363400,363600,U,U,U,U,10.57636033706978
427,chr1,363600,363800,U,U,U,U,7.14466658634241
428,chr1,363800,364000,U,U,U,U,-1.9500323308489569
429,chr1,364600,364800,U,U,U,U,14.690201517686756
430,chr1,365200,365400,U,U,U,U,14.874855571405638
431,chr1,373600,373800,U,U,U,U,14.028354025785353
432,chr1,374200,374400,U,U,U,U,-0.42466508514100976
433,chr1,374400,374600,U,U,U,U,1.538975967896482
434,chr1,375600,375800,U,U,U,U,4.018556936280834
435,chr1,377600,377800,U,U,U,U,13.265221860942926
436,chr1,377800,378000,U,U,U,U,4.888052434720368
437,chr1,378000,378200,U,U,U,U,8.09986909954765
438,chr1,378600,378800,U,U,U,U,13.491110402427022
439,chr1,378800,379000,U,U,U,U,3.787422983980552
440,chr1,379200,379400,U,U,U,U,10.023206549427213
441,chr1,379800,380000,U,U,U,U,2.4428185665778215
442,chr1,380000,380200,U,U,U,U,7.625183766490074
443,chr1,380200,380400,U,U,U,U,4.75909539493719
444,chr1,380400,380600,U,U,U,U,13.05588085213928
445,chr1,380600,380800,U,U,U,U,13.114471733027775
446,chr1,380800,381000,U,U,U,U,8.328899476552385
447,chr1,381800,382000,U,U,U,U,19.00562742911976
448,chr1,382000,382200,U,U,U,U,30.593622255041932
449,chr1,383600,383800,U,U,U,U,-15.096272883385614
450,chr1,383800,384000,U,U,U,U,-3.8007541036869092
451,chr1,384000,384200,U,U,U,U,-14.322468940665443
452,chr1,384200,384400,U,U,U,U,5.941303383918882
453,chr1,384400,384600,U,U,U,U,-3.551811537464377
454,chr1,384600,384800,U,U,U,U,-7.311584227606446
455,chr1,385200,385400,U,U,U,U,-0.5607476056437458
456,chr1,385400,385600,U,U,U,U,6.916407588651762
457,chr1,385600,385800,U,U,U,U,0.9642656449033534
458,chr1,385800,386000,U,U,U,U,6.107332905059969
459,chr1,387400,387600,U,U,U,U,3.8075297052690935
460,chr1,389600,389800,U,U,U,U,1.5355402641196747
461,chr1,389800,390000,U,U,U,U,-9.23335835508563
462,chr1,391600,391800,U,U,U,U,1.4735494435803889
463,chr1,391800,392000,U,U,U,U,0.8229065021153975
464,chr1,392000,392200,U,U,U,U,5.281474566558344
465,chr1,392200,392400,U,U,U,U,-1.394114158087447
466,chr1,392400,392600,U,U,U,U,-10.65683978453145
467,chr1,393400,393600,U,U,U,U,3.942773088230767
468,chr1,394000,394200,U,U,U,U,5.40369404331083
469,chr1,395000,395200,U,U,U,U,-7.369147455844042
470,chr1,396400,396600,U,U,U,U,-3.070101417683104
471,chr1,397800,398000,U,U,U,U,-3.121718715874481
472,chr1,398600,398800,U,U,U,U,-6.460909966257411
473,chr1,398800,399000,U,U,U,U,-10.247451971452419
474,chr1,399000,399200,U,U,U,U,-11.120199632294042
475,chr1,401000,401200,U,U,U,U,2.402838320529044
476,chr1,401200,401400,U,U,U,U,-3.8879843002747023
477,chr1,403200,403400,U,U,U,U,-10.767509247219483
478,chr1,405600,405800,U,U,U,U,-5.005091238262468
479,chr1,406200,406400,U,U,U,U,-1.102708379430662
480,chr1,406400,406600,U,U,U,U,4.868870092614289
481,chr1,406600,406800,U,U,U,U,-10.296946729069575
482,chr1,406800,407000,U,U,U,U,-0.061822088060631664
483,chr1,407000,407200,U,U,U,U,-2.5759937449419654
484,chr1,407200,407400,U,U,U,U,-6.67265545445892
